Driver,Scenario_Value,IRR_Mean,MOIC_Mean,NPV_Mean,Prob_NPV_Negative,NPV_CVaR_5
discount_rate,0.08,0.10479360656008707,2.816686994250494,24.114877855413123,0.0182,0.2069797684400781
discount_rate,0.09,0.10479360656008707,2.816686994250494,13.790439723054597,0.105,-7.302415593115522
discount_rate,0.09999999999999999,0.10479360656008707,2.816686994250494,4.654786515549933,0.3374,-14.05248914612942
exit_multiple,11.0,0.0995414590303141,2.6155372281204894,8.754483463687645,0.2048,-11.107004182803692
exit_multiple,12.0,0.10479360656008707,2.816686994250494,13.790439723054597,0.105,-7.302415593115522
exit_multiple,13.0,0.10961228319737693,3.017924867977827,18.828601831400626,0.0458,-3.483410171814333
volatility,0.09999999999999999,0.10515375748066949,2.813942881912148,13.709237689561277,0.0248,-0.7866403505372812
volatility,0.15,0.10479360656008707,2.816686994250494,13.790439723054597,0.105,-7.302415593115522
volatility,0.2,0.1042806838015679,2.820191992870524,13.892101204336152,0.1758,-13.276374123504375
ltv_target,0.45,0.10444108857447557,2.909942171762842,14.247015092263837,0.105,-7.544184758022726
ltv_target,0.5,0.10544108857447554,2.645401974329856,12.95183190205803,0.105,-6.858349780020658
ltv_target,0.55,0.10644108857447554,2.3808617768968703,11.656648711852226,0.105,-6.172514802018592
