Metric,Value
Deterministic IRR (Deal-Level),0.10323959328084861
Deterministic MOIC (Deal-Level),2.551169081081081
Stochastic IRR Mean,0.10479360656008707
Stochastic IRR P10,0.08965895739755461
Stochastic IRR P90,0.11963786668995657
Stochastic MOIC Mean,2.816686994250494
Stochastic MOIC P10,2.307351648214383
Stochastic MOIC P90,3.365462794853626
NPV Mean,13.790439723054597
NPV VaR 5%,-3.567925724729584
NPV CVaR 5%,-7.302415593115522
Probability NPV < 0,0.105
Qualitative Score,0.0
Final Decision,INVEST
Composite Investment Score,0.5920861420490843
