Driver,Scenario_Value,IRR_Mean,MOIC_Mean,NPV_Mean,Prob_NPV_Negative,NPV_CVaR_5
Investor Target Return,0.09000000000000001,0.10239360656008704,2.796567486726565,13.643093286622362,0.106,-7.373006871344425
Investor Target Return,0.1,0.10239360656008704,2.796567486726565,4.568471537057504,0.3378,-14.207933369428448
Investor Target Return,0.11,0.10239360656008704,2.796567486726565,-3.5357995441664984,0.6646,-20.44156846050948
exit_multiple,11.0,0.0971414590303141,2.596861417342558,0.22408131864130074,0.5112,-17.59726094513004
exit_multiple,12.0,0.10239360656008704,2.796567486726565,4.568471537057504,0.3378,-14.207933369428448
exit_multiple,13.0,0.10721228319737691,2.9963616637078996,8.898904206761518,0.1956,-10.828183811197894
volatility,0.09999999999999999,0.10275375748066949,2.7937885599557992,4.518706182541117,0.2468,-8.333494937303715
volatility,0.15,0.10239360656008704,2.796567486726565,4.568471537057504,0.3378,-14.207933369428448
volatility,0.2,0.1018806838015679,2.800100663853441,4.633303695579288,0.389,-19.636443240602457
ltv_target,0.45,0.10204108857447557,2.889156545408728,4.719748817429584,0.3378,-14.678331163416281
ltv_target,0.5,0.10304108857447557,2.62650595037157,4.290609368888657,0.3378,-13.343937421287526
ltv_target,0.55,0.10404108857447554,2.3638553553344135,3.8614514711532952,0.3378,-12.009543679158774
